AnimalID,DateTime_Intake,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,Result,year,month
A788689,2019-02-06 18:48:00,Stray,Normal,Dog,Spayed Female,5.0,German Shepherd Mix,dark,2019-02-16 13:27:00,2014-02-06 00:00:00,Spayed Female,5.0,0.0,2019,2
A798139,2019-07-11 17:02:00,Stray,Normal,Dog,Intact Male,1.0,Staffordshire Mix,medium,2019-07-15 15:59:00,2017-07-19 00:00:00,Intact Male,1.0,0.0,2019,7
A715690,2015-11-08 12:28:00,Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Shorthair Mix,dark,2015-12-02 18:20:00,2015-09-23 00:00:00,Spayed Female,0.16666666666666666,0.0,2015,11
A676308,2014-04-07 18:37:00,Wildlife,Normal,Other,Unknown,3.0,Bat Mix,dark,2014-04-07 19:00:00,2011-04-07 00:00:00,Unknown,3.0,1.0,2014,4
A762784,2017-12-31 13:51:00,Owner Surrender,Normal,Dog,Spayed Female,3.0,Border Collie Mix,dark,2017-12-27 18:25:00,2014-11-27 00:00:00,Spayed Female,3.0,0.0,2017,12
A753897,2017-07-12 16:18:00,Stray,Normal,Cat,Intact Male,0.16666666666666666,Domestic Shorthair Mix,dark,2017-08-12 18:48:00,2017-04-12 00:00:00,Neutered Male,0.3333333333333333,0.0,2017,7
A758219,2017-09-12 18:57:00,Stray,Normal,Cat,Intact Male,0.25,Domestic Shorthair Mix,light,2017-09-23 12:56:00,2017-06-12 00:00:00,Neutered Male,0.25,0.0,2017,9
A730067,2016-06-28 07:12:00,Stray,Normal,Cat,Intact Male,0.08333333333333333,Domestic Shorthair Mix,dark,2016-08-15 19:23:00,2016-05-22 00:00:00,Neutered Male,0.16666666666666666,0.0,2016,6
A672325,2014-02-08 10:42:00,Stray,Normal,Dog,Intact Male,1.0,German Shepherd Mix,dark,2014-02-17 15:18:00,2013-02-08 00:00:00,Neutered Male,1.0,0.0,2014,2
A765077,2018-01-12 15:06:00,Stray,Normal,Dog,Intact Male,1.0,Border Collie Mix,dark,2018-01-18 18:07:00,2017-01-12 00:00:00,Neutered Male,1.0,0.0,2018,1
A754813,2017-07-25 11:22:00,Stray,Normal,Cat,Intact Female,0.16666666666666666,Domestic Shorthair Mix,light,2017-08-11 13:32:00,2017-04-25 00:00:00,Intact Female,0.25,0.0,2017,7
A681268,2015-02-05 16:10:00,Stray,Normal,Cat,Intact Female,2.0,Siamese Mix,medium,2015-03-14 17:58:00,2012-06-14 00:00:00,Spayed Female,2.0,0.0,2015,2
A788299,2019-01-30 10:31:00,Stray,Nursing,Dog,Intact Male,0.0,Labrador Retriever Mix,dark,2019-04-05 16:18:00,2019-01-30 00:00:00,Neutered Male,0.16666666666666666,0.0,2019,1
A612451,2013-10-26 13:56:00,Stray,Normal,Dog,Neutered Male,2.0,Cairn Terrier Mix,medium,2013-10-27 12:29:00,2011-08-01 00:00:00,Neutered Male,2.0,0.0,2013,10
A732376,2016-08-06 16:14:00,Stray,Nursing,Cat,Intact Male,0.07692307692307693,Domestic Medium Hair Mix,dark,2016-09-16 10:39:00,2016-07-06 00:00:00,Intact Male,0.16666666666666666,1.0,2016,8
A657392,2017-12-03 11:08:00,Stray,Normal,Dog,Neutered Male,5.0,Rottweiler Mix,dark,2017-12-03 15:19:00,2012-06-27 00:00:00,Neutered Male,5.0,0.0,2017,12
A702056,2015-09-19 11:03:00,Owner Surrender,Normal,Dog,Neutered Male,1.0,Border Collie Mix,dark,2015-10-03 15:40:00,2014-09-08 00:00:00,Neutered Male,1.0,0.0,2015,9
A714204,2015-10-19 16:08:00,Stray,Normal,Dog,Intact Male,1.0,Chihuahua Shorthair Mix,dark,2015-10-26 12:28:00,2014-10-19 00:00:00,Neutered Male,1.0,0.0,2015,10
A673579,2014-02-26 17:49:00,Owner Surrender,Normal,Dog,Intact Female,0.3333333333333333,Labrador Retriever/Pit Bull,light,2014-03-14 18:37:00,2013-09-27 00:00:00,Spayed Female,0.4166666666666667,0.0,2014,2
A792323,2019-04-09 12:23:00,Stray,Normal,Cat,Intact Female,0.057692307692307696,Domestic Shorthair Mix,dark,2019-04-10 11:41:00,2019-03-16 00:00:00,Intact Female,0.057692307692307696,0.0,2019,4
A748760,2017-05-06 15:11:00,Stray,Nursing,Cat,Intact Female,0.0136986301369863,Domestic Shorthair Mix,dark,2017-10-08 19:13:00,2017-05-01 00:00:00,Spayed Female,0.4166666666666667,0.0,2017,5
A774515,2018-06-16 15:13:00,Stray,Normal,Dog,Intact Male,1.0,Pit Bull Mix,dark,2018-08-19 16:59:00,2017-06-16 00:00:00,Neutered Male,1.0,0.0,2018,6
A713473,2015-10-07 13:29:00,Stray,Sick,Cat,Intact Male,5.0,Domestic Shorthair Mix,dark,2015-10-08 09:35:00,2010-10-07 00:00:00,Intact Male,5.0,1.0,2015,10
A768683,2018-03-23 14:37:00,Owner Surrender,Normal,Dog,Intact Female,0.08333333333333333,Dachshund Mix,dark,2018-03-26 18:29:00,2018-01-23 00:00:00,Spayed Female,0.16666666666666666,0.0,2018,3
A779150,2018-08-26 13:19:00,Stray,Normal,Cat,Intact Female,0.08333333333333333,Domestic Medium Hair Mix,light,2018-10-23 13:32:00,2018-07-10 00:00:00,Spayed Female,0.25,0.0,2018,8
A721560,2016-02-29 14:12:00,Owner Surrender,Normal,Dog,Intact Female,2.0,Chihuahua Shorthair Mix,light,2016-03-11 11:44:00,2013-03-11 00:00:00,Spayed Female,3.0,0.0,2016,2
A778269,2018-08-11 11:58:00,Stray,Normal,Cat,Intact Female,0.07692307692307693,Domestic Shorthair Mix,light,2018-08-12 15:29:00,2018-07-11 00:00:00,Intact Female,0.07692307692307693,0.0,2018,8
A683465,2014-07-10 09:44:00,Stray,Nursing,Dog,Intact Male,0.019230769230769232,Labrador Retriever Mix,light,2014-07-21 18:11:00,2014-06-28 00:00:00,Intact Male,0.057692307692307696,0.0,2014,7
A668200,2013-11-29 14:26:00,Stray,Injured,Dog,Intact Male,1.0,Labrador Retriever/Siberian Husky,dark,2013-12-22 11:19:00,2012-11-29 00:00:00,Neutered Male,1.0,0.0,2013,11
A805387,2019-09-26 12:08:00,Stray,Normal,Dog,Intact Male,1.0,Chihuahua Shorthair,dark,2019-09-28 14:11:00,2018-09-26 00:00:00,Intact Male,1.0,0.0,2019,9
A709470,2015-08-09 14:26:00,Owner Surrender,Normal,Cat,Intact Male,0.25,Domestic Shorthair Mix,dark,2015-08-19 15:17:00,2015-05-09 00:00:00,Neutered Male,0.25,0.0,2015,8
A646245,2017-02-15 17:49:00,Owner Surrender,Normal,Cat,Neutered Male,4.0,Domestic Shorthair Mix,dark,2017-03-10 12:18:00,2012-10-19 00:00:00,Neutered Male,4.0,0.0,2017,2
A769749,2018-04-09 17:10:00,Stray,Sick,Dog,Intact Male,2.0,Labrador Retriever,dark,2018-04-27 12:01:00,2015-04-23 00:00:00,Intact Male,3.0,0.0,2018,4
A774778,2018-08-14 15:46:00,Stray,Normal,Dog,Spayed Female,0.3333333333333333,German Shepherd Mix,dark,2018-08-16 15:31:00,2018-04-05 00:00:00,Spayed Female,0.3333333333333333,0.0,2018,8
A804584,2019-09-16 11:14:00,Stray,Normal,Cat,Intact Female,0.057692307692307696,Domestic Medium Hair,dark,2019-09-19 18:58:00,2019-08-22 00:00:00,Intact Female,0.07692307692307693,0.0,2019,9
A772022,2018-05-13 16:23:00,Stray,Normal,Cat,Spayed Female,7.0,Domestic Shorthair Mix,dark,2018-05-13 19:20:00,2011-05-13 00:00:00,Spayed Female,7.0,0.0,2018,5
A716702,2015-11-23 12:49:00,Stray,Normal,Cat,Spayed Female,2.0,Domestic Shorthair Mix,light,2015-12-05 14:23:00,2013-11-23 00:00:00,Spayed Female,2.0,0.0,2015,11
A688351,2014-09-18 12:34:00,Stray,Normal,Dog,Intact Male,0.16666666666666666,Chihuahua Shorthair Mix,light,2014-09-22 18:28:00,2014-07-18 00:00:00,Neutered Male,0.16666666666666666,0.0,2014,9
A739821,2016-12-07 15:20:00,Stray,Normal,Cat,Unknown,0.038461538461538464,Domestic Shorthair Mix,light,2016-12-07 18:05:00,2016-11-22 00:00:00,Unknown,0.038461538461538464,0.0,2016,12
A467213,2014-04-30 12:39:00,Euthanasia Request,Injured,Cat,Spayed Female,8.0,Domestic Shorthair Mix,dark,2014-04-30 17:29:00,2006-04-05 00:00:00,Spayed Female,8.0,1.0,2014,4
A754272,2017-07-18 12:03:00,Wildlife,Normal,Other,Unknown,3.0,Bat Mix,dark,2017-07-19 08:27:00,2014-07-18 00:00:00,Unknown,3.0,1.0,2017,7
